/* 
 hashOutputObj7.2.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 11037
*/
Script started on Tue 05 May 2020 09:41:10 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
5 words in bucket 1221
4 words in bucket 1222
3 words in bucket 1223
6 words in bucket 1224
4 words in bucket 1225
2 words in bucket 1226
7 words in bucket 1227
7 words in bucket 1228
4 words in bucket 1229
3 words in bucket 1230
7 words in bucket 1231
5 words in bucket 1232
3 words in bucket 1233
5 words in bucket 1234
6 words in bucket 1235
1 words in bucket 1236
6 words in bucket 1237
4 words in bucket 1238
7 words in bucket 1239
4 words in bucket 1240
5 words in bucket 1241
10 words in bucket 1242
9 words in bucket 1243
6 words in bucket 1244
7 words in bucket 1245
1 words in bucket 1246
5 words in bucket 1247
4 words in bucket 1248
4 words in bucket 1249
6 words in bucket 1250
7 words in bucket 1251
3 words in bucket 1252
2 words in bucket 1253
10 words in bucket 1254
6 words in bucket 1255
6 words in bucket 1256
12 words in bucket 1257
8 words in bucket 1258
7 words in bucket 1259
7 words in bucket 1260
6 words in bucket 1261
7 words in bucket 1262
8 words in bucket 1263
10 words in bucket 1264
10 words in bucket 1265
6 words in bucket 1266
4 words in bucket 1267
2 words in bucket 1268
4 words in bucket 1269
5 words in bucket 1270
5 words in bucket 1271
8 words in bucket 1272
4 words in bucket 1273
7 words in bucket 1274
5 words in bucket 1275
8 words in bucket 1276
4 words in bucket 1277
2 words in bucket 1278
5 words in bucket 1279
7 words in bucket 1280
6 words in bucket 1281
6 words in bucket 1282
6 words in bucket 1283
8 words in bucket 1284
4 words in bucket 1285
8 words in bucket 1286
4 words in bucket 1287
4 words in bucket 1288
4 words in bucket 1289
4 words in bucket 1290
7 words in bucket 1291
5 words in bucket 1292
4 words in bucket 1293
7 words in bucket 1294
6 words in bucket 1295
4 words in bucket 1296
5 words in bucket 1297
9 words in bucket 1298
5 words in bucket 1299
6 words in bucket 1300
2 words in bucket 1301
11 words in bucket 1302
7 words in bucket 1303
2 words in bucket 1304
3 words in bucket 1305
2 words in bucket 1306
6 words in bucket 1307
7 words in bucket 1308
2 words in bucket 1309
9 words in bucket 1310
6 words in bucket 1311
3 words in bucket 1312
9 words in bucket 1313
4 words in bucket 1314
5 words in bucket 1315
6 words in bucket 1316
5 words in bucket 1317
