/*
 hashOutputObj7.1.txt
 Seth Cram
 Completed 5/5/2020
 Hash table size = 8017
*/

Script started on Tue 05 May 2020 09:40:25 PM PDT
[?1034hbash-4.2$ ./a.out
File dict4 is open
File closed
File dict8 is open
File closed
6 words in bucket 1014
7 words in bucket 1015
7 words in bucket 1016
6 words in bucket 1017
5 words in bucket 1018
3 words in bucket 1019
7 words in bucket 1020
9 words in bucket 1021
9 words in bucket 1022
10 words in bucket 1023
5 words in bucket 1024
7 words in bucket 1025
7 words in bucket 1026
5 words in bucket 1027
6 words in bucket 1028
10 words in bucket 1029
8 words in bucket 1030
4 words in bucket 1031
3 words in bucket 1032
4 words in bucket 1033
4 words in bucket 1034
9 words in bucket 1035
8 words in bucket 1036
7 words in bucket 1037
9 words in bucket 1038
5 words in bucket 1039
8 words in bucket 1040
7 words in bucket 1041
4 words in bucket 1042
8 words in bucket 1043
15 words in bucket 1044
13 words in bucket 1045
7 words in bucket 1046
6 words in bucket 1047
5 words in bucket 1048
12 words in bucket 1049
8 words in bucket 1050
5 words in bucket 1051
8 words in bucket 1052
8 words in bucket 1053
7 words in bucket 1054
6 words in bucket 1055
4 words in bucket 1056
8 words in bucket 1057
8 words in bucket 1058
8 words in bucket 1059
13 words in bucket 1060
15 words in bucket 1061
14 words in bucket 1062
7 words in bucket 1063
7 words in bucket 1064
13 words in bucket 1065
7 words in bucket 1066
12 words in bucket 1067
7 words in bucket 1068
8 words in bucket 1069
6 words in bucket 1070
4 words in bucket 1071
7 words in bucket 1072
5 words in bucket 1073
9 words in bucket 1074
6 words in bucket 1075
8 words in bucket 1076
9 words in bucket 1077
5 words in bucket 1078
6 words in bucket 1079
6 words in bucket 1080
7 words in bucket 1081
5 words in bucket 1082
11 words in bucket 1083
8 words in bucket 1084
7 words in bucket 1085
1 words in bucket 1086
7 words in bucket 1087
14 words in bucket 1088
2 words in bucket 1089
7 words in bucket 1090
7 words in bucket 1091
8 words in bucket 1092
4 words in bucket 1093
5 words in bucket 1094
13 words in bucket 1095
3 words in bucket 1096
7 words in bucket 1097
8 words in bucket 1098
6 words in bucket 1099
6 words in bucket 1100
5 words in bucket 1101
3 words in bucket 1102
11 words in bucket 1103
6 words in bucket 1104
8 words in bucket 1105
9 words in bucket 1106
3 words in bucket 1107
4 words in bucket 1108
9 words in bucket 1109
5 words in bucket 1110
5 words in bucket 1111
8 words in bucket 1112
11 words in bucket 1113
5 words in bucket 1114
8 words in bucket 1115
9 words in bucket 1116
7 words in bucket 1117
10 words in bucket 1118
3 words in bucket 1119
10 words in bucket 1120
7 words in bucket 1121
6 words in bucket 1122
9 words in bucket 1123
7 words in bucket 1124
7 words in bucket 1125
9 words in bucket 1126
4 words in bucket 1127
3 words in bucket 1128
9 words in bucket 1129
6 words in bucket 1130
8 words in bucket 1131
4 words in bucket 1132
11 words in bucket 1133
4 words in bucket 1134
7 words in bucket 1135
7 words in bucket 1136
3 words in bucket 1137
7 words in bucket 1138
11 words in bucket 1139
13 words in bucket 1140
6 words in bucket 1141
5 words in bucket 1142
3 words in bucket 1143
8 words in bucket 1144
8 words in bucket 1145
7 words in bucket 1146
5 words in bucket 1147
9 words in bucket 1148
7 words in bucket 1149
7 words in bucket 1150
4 words in bucket 1151
11 words in bucket 1152
5 words in bucket 1153
13 words in bucket 1154
3 words in bucket 1155
7 words in bucket 1156
7 words in bucket 1157
11 words in bucket 1158
7 words in bucket 1159
11 words in bucket 1160
5 words in bucket 1161
13 words in bucket 1162
3 words in bucket 1163
6 words in bucket 1164
7 words in bucket 1165
10 words in bucket 1166
7 words in bucket 1167
10 words in bucket 1168
5 words in bucket 1169
3 words in bucket 1170
6 words in bucket 1171
7 words in bucket 1172
3 words in bucket 1173
7 words in bucket 1174
4 words in bucket 1175
4 words in bucket 1176
10 words in bucket 1177
6 words in bucket 1178
9 words in bucket 1179
5 words in bucket 1180
9 words in bucket 1181
8 words in bucket 1182
12 words in bucket 1183
3 words in bucket 1184
10 words in bucket 1185
6 words in bucket 1186
5 words in bucket 1187
7 words in bucket 1188
6 words in bucket 1189
8 words in bucket 1190
13 words in bucket 1191
2 words in bucket 1192
10 words in bucket 1193
14 words in bucket 1194
6 words in bucket 1195
6 words in bucket 1196
12 words in bucket 1197
7 words in bucket 1198
9 words in bucket 1199
5 words in bucket 1200
11 words in bucket 1201
8 words in bucket 1202
2 words in bucket 1203
9 words in bucket 1204
7 words in bucket 1205
9 words in bucket 1206
4 words in bucket 1207
9 words in bucket 1208
4 words in bucket 1209
5 words in bucket 1210
9 words in bucket 1211
7 words in bucket 1212
7 words in bucket 1213
7 words in bucket 1214
9 words in bucket 1215
17 words in bucket 1216
9 words in bucket 1217
5 words in bucket 1218
5 words in bucket 1219
7 words in bucket 1220
7 words in bucket 1221
8 words in bucket 1222
7 words in bucket 1223
5 words in bucket 1224
12 words in bucket 1225
8 words in bucket 1226
7 words in bucket 1227
8 words in bucket 1228
3 words in bucket 1229
11 words in bucket 1230
13 words in bucket 1231
6 words in bucket 1232
8 words in bucket 1233
2 words in bucket 1234
6 words in bucket 1235
7 words in bucket 1236
8 words in bucket 1237
7 words in bucket 1238
6 words in bucket 1239
10 words in bucket 1240
8 words in bucket 1241
10 words in bucket 1242
8 words in bucket 1243
11 words in bucket 1244
8 words in bucket 1245
4 words in bucket 1246
6 words in bucket 1247
5 words in bucket 1248
5 words in bucket 1249
9 words in bucket 1250
9 words in bucket 1251
6 words in bucket 1252
8 words in bucket 1253
8 words in bucket 1254
3 words in bucket 1255
7 words in bucket 1256
14 words in bucket 1257
6 words in bucket 1258
5 words in bucket 1259
3 words in bucket 1260
7 words in bucket 1261
6 words in bucket 1262
6 words in bucket 1263
7 words in bucket 1264
3 words in bucket 1265
6 words in bucket 1266
10 words in bucket 1267
6 words in bucket 1268
4 words in bucket 1269
10 words in bucket 1270
6 words in bucket 1271
6 words in bucket 1272
4 words in bucket 1273
6 words in bucket 1274
6 words in bucket 1275
4 words in bucket 1276
10 words in bucket 1277
6 words in bucket 1278
5 words in bucket 1279
11 words in bucket 1280
6 words in bucket 1281
10 words in bucket 1282
4 words in bucket 1283
5 words in bucket 1284
7 words in bucket 1285
3 words in bucket 1286
6 words in bucket 1287
10 words in bucket 1288
5 words in bucket 1289
5 words in bucket 1290
8 words in bucket 1291
6 words in bucket 1292
6 words in bucket 1293
13 words in bucket 1294
14 words in bucket 1295
9 words in bucket 1296
5 words in bucket 1297
11 words in bucket 1298
10 words in bucket 1299
5 words in bucket 1300
7 words in bucket 1301
4 words in bucket 1302
10 words in bucket 1303
4 words in bucket 1304
7 words in bucket 1305
8 words in bucket 1306
9 words in bucket 1307
8 words in bucket 1308
7 words in bucket 1309
7 words in bucket 1310
8 words in bucket 1311
12 words in bucket 1312
7 words in bucket 1313
8 words in bucket 1314
3 words in bucket 1315
